1|4/10/2000|2000-04-10|18|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
2|5/20/2017|2017-05-20|1|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
3|8/18/1934|1934-08-18|84|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
4|9/24/1969|1969-09-24|49|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
5|2/11/1961|1961-02-11|57|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
6|3/26/1936|1936-03-26|82|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
7|2/7/1961|1961-02-07|57|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
8|3/1/1992|1992-03-01|26|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
9|7/11/1956|1956-07-11|62|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
10|11/22/1956|1956-11-22|62|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
11|2/24/1999|1999-02-24|19|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
12|4/16/1944|1944-04-16|74|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
13|4/23/1937|1937-04-23|81|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
14|8/20/1960|1960-08-20|58|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
15|2/1/1964|1964-02-01|54|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
16|5/10/1974|1974-05-10|44|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
17|11/17/1949|1949-11-17|69|2020-10-07 19:50:04.000|1||16a17a48-d09b-11ea-9579-bba61161b25a  
